coursename,courseid,accouncementcount,groupdiscussioncount,individualdiscussioncount,sectioncount,assignmentcount,gradedassignmentcount,nongradedassignmentcount,modulecount,wikipagecount,assignmentattachmentcount,courseattachmentcount,groupcount,quizcount,quizquestioncount,externaltoolcount,moduleurlcount,tacount,studentcount
LEAP - Learning About Research (2018 Fall),72360000000004653,13,0,0,1,22,21,1,0,0,14,16,0,0,0,0,0,0,10
BIS 360: Leaders in Film (2018 Fall - DYN),72360000000004869,0,0,0,1,18,17,1,0,0,0,0,0,0,0,0,0,0,19
Home Impact on Child Development,72360000000007851,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCR 263: Intro to Medical Billing (2019 Spring),72360000000008076,1,0,2,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0
Advising 201 Change a Student Program or Plan,72360000000008146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV-WPC-ACC420-Matejka,72360000000002869,1,0,16,1,16,16,0,13,48,0,427,0,4,7,7,32,0,1
Dev-canvas-4-ptortori,72360000000007787,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intro to Clinical Psych,72360000000005484,1,0,8,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0
FMP 261: Introduction to Screenwriting (2018 Fall),72360000000004870,0,0,0,1,11,11,0,0,0,0,0,0,0,0,0,0,0,22
LIA 101: Student Success in CLAS (2018 Fall),72360000000004004,13,0,12,1,31,31,0,12,22,15,25,0,0,0,0,2,0,20
EMS 509: Communications and Sustainability II ,72360000000005062,3,0,4,1,9,9,0,9,67,1,38,0,0,0,8,0,1,13
Janice's Dev Shell,72360000000004754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAT 267: Calculus for Engineers III - Import from Blackboard,72360000000001938,0,0,2,1,14,14,0,7,10,0,1,0,0,0,0,0,0,0
LIN 513: Semantics (2018 Fall),72360000000004360,15,0,2,1,8,8,0,10,0,0,27,0,2,18,0,1,0,19
GBL 43: English Communication (2018 Fall - A),72360000000004110,18,0,0,1,27,27,0,8,3,4,11,0,0,0,0,2,0,15
Canvas: BB Zip to Canvas,72360000000005250,0,0,0,1,3,3,0,4,102,0,23,0,0,0,0,0,0,0
DEV APH 494/APH 598 Peter Zumthor (line 92634/92635),72360000000001403,1,0,0,1,0,0,0,20,5,0,165,0,0,0,0,4,0,0
